101126072861097,ABCAPITAL 28 Jul 26 FUT,13,3100,0.05,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ABCAPITAL26JULFUT,10,11,61097,ABCAPITAL,21614,-1.0,XX,101000000021614,None,0,0.0
101126052666076,ADANIENSOL 26 May 26 FUT,13,675,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ADANIENSOL26MAYFUT,10,11,66076,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126063062342,ADANIENSOL 30 Jun 26 FUT,13,675,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ADANIENSOL26JUNFUT,10,11,62342,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126072861098,ADANIENSOL 28 Jul 26 FUT,13,675,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ADANIENSOL26JULFUT,10,11,61098,ADANIENSOL,10217,-1.0,XX,101000000010217,None,0,0.0
101126052666077,ADANIENT 26 May 26 FUT,13,309,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ADANIENT26MAYFUT,10,11,66077,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126063062343,ADANIENT 30 Jun 26 FUT,13,309,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ADANIENT26JUNFUT,10,11,62343,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126072861099,ADANIENT 28 Jul 26 FUT,13,309,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ADANIENT26JULFUT,10,11,61099,ADANIENT,25,-1.0,XX,101000000025,None,0,0.0
101126052666078,ADANIGREEN 26 May 26 FUT,13,600,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ADANIGREEN26MAYFUT,10,11,66078,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126063062344,ADANIGREEN 30 Jun 26 FUT,13,600,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ADANIGREEN26JUNFUT,10,11,62344,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126072861100,ADANIGREEN 28 Jul 26 FUT,13,600,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ADANIGREEN26JULFUT,10,11,61100,ADANIGREEN,3563,-1.0,XX,10100000003563,None,0,0.0
101126052666079,ADANIPORTS 26 May 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ADANIPORTS26MAYFUT,10,11,66079,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126063062345,ADANIPORTS 30 Jun 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ADANIPORTS26JUNFUT,10,11,62345,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126072861101,ADANIPORTS 28 Jul 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ADANIPORTS26JULFUT,10,11,61101,ADANIPORTS,15083,-1.0,XX,101000000015083,None,0,0.0
101126052662347,ADANIPOWER 26 May 26 FUT,13,3550,0.01,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ADANIPOWER26MAYFUT,10,11,62347,ADANIPOWER,17388,-1.0,XX,101000000017388,None,0,0.0
101126063062348,ADANIPOWER 30 Jun 26 FUT,13,3550,0.01,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ADANIPOWER26JUNFUT,10,11,62348,ADANIPOWER,17388,-1.0,XX,101000000017388,None,0,0.0
101126072861102,ADANIPOWER 28 Jul 26 FUT,13,3550,0.01,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ADANIPOWER26JULFUT,10,11,61102,ADANIPOWER,17388,-1.0,XX,101000000017388,None,0,0.0
101126052666080,ALKEM 26 May 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ALKEM26MAYFUT,10,11,66080,ALKEM,11703,-1.0,XX,101000000011703,None,0,0.0
101126063062349,ALKEM 30 Jun 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ALKEM26JUNFUT,10,11,62349,ALKEM,11703,-1.0,XX,101000000011703,None,0,0.0
101126072861103,ALKEM 28 Jul 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ALKEM26JULFUT,10,11,61103,ALKEM,11703,-1.0,XX,101000000011703,None,0,0.0
101126052666081,AMBER 26 May 26 FUT,13,100,0.5,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:AMBER26MAYFUT,10,11,66081,AMBER,1185,-1.0,XX,10100000001185,None,0,0.0
101126063062359,AMBER 30 Jun 26 FUT,13,100,0.5,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:AMBER26JUNFUT,10,11,62359,AMBER,1185,-1.0,XX,10100000001185,None,0,0.0
101126072861104,AMBER 28 Jul 26 FUT,13,100,0.5,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:AMBER26JULFUT,10,11,61104,AMBER,1185,-1.0,XX,10100000001185,None,0,0.0
101126052666082,AMBUJACEM 26 May 26 FUT,13,1050,0.05,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:AMBUJACEM26MAYFUT,10,11,66082,AMBUJACEM,1270,-1.0,XX,10100000001270,None,0,0.0
101126063062360,AMBUJACEM 30 Jun 26 FUT,13,1050,0.05,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:AMBUJACEM26JUNFUT,10,11,62360,AMBUJACEM,1270,-1.0,XX,10100000001270,None,0,0.0
101126072861105,AMBUJACEM 28 Jul 26 FUT,13,1200,0.05,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:AMBUJACEM26JULFUT,10,11,61105,AMBUJACEM,1270,-1.0,XX,10100000001270,None,0,0.0
101126052666083,ANGELONE 26 May 26 FUT,13,2500,0.05,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ANGELONE26MAYFUT,10,11,66083,ANGELONE,324,-1.0,XX,1010000000324,None,0,0.0
101126063062361,ANGELONE 30 Jun 26 FUT,13,2500,0.05,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ANGELONE26JUNFUT,10,11,62361,ANGELONE,324,-1.0,XX,1010000000324,None,0,0.0
101126072861106,ANGELONE 28 Jul 26 FUT,13,2500,0.05,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ANGELONE26JULFUT,10,11,61106,ANGELONE,324,-1.0,XX,1010000000324,None,0,0.0
101126052666084,APLAPOLLO 26 May 26 FUT,13,350,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:APLAPOLLO26MAYFUT,10,11,66084,APLAPOLLO,25780,-1.0,XX,101000000025780,None,0,0.0
101126063062362,APLAPOLLO 30 Jun 26 FUT,13,350,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:APLAPOLLO26JUNFUT,10,11,62362,APLAPOLLO,25780,-1.0,XX,101000000025780,None,0,0.0
101126072861107,APLAPOLLO 28 Jul 26 FUT,13,350,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:APLAPOLLO26JULFUT,10,11,61107,APLAPOLLO,25780,-1.0,XX,101000000025780,None,0,0.0
101126052666085,APOLLOHOSP 26 May 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:APOLLOHOSP26MAYFUT,10,11,66085,APOLLOHOSP,157,-1.0,XX,1010000000157,None,0,0.0
101126063062363,APOLLOHOSP 30 Jun 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:APOLLOHOSP26JUNFUT,10,11,62363,APOLLOHOSP,157,-1.0,XX,1010000000157,None,0,0.0
101126072861108,APOLLOHOSP 28 Jul 26 FUT,13,125,0.5,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:APOLLOHOSP26JULFUT,10,11,61108,APOLLOHOSP,157,-1.0,XX,1010000000157,None,0,0.0
101126052666086,ASHOKLEY 26 May 26 FUT,13,5000,0.01,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ASHOKLEY26MAYFUT,10,11,66086,ASHOKLEY,212,-1.0,XX,1010000000212,None,0,0.0
101126063062366,ASHOKLEY 30 Jun 26 FUT,13,5000,0.01,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ASHOKLEY26JUNFUT,10,11,62366,ASHOKLEY,212,-1.0,XX,1010000000212,None,0,0.0
101126072861109,ASHOKLEY 28 Jul 26 FUT,13,5000,0.01,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ASHOKLEY26JULFUT,10,11,61109,ASHOKLEY,212,-1.0,XX,1010000000212,None,0,0.0
101126052666087,ASIANPAINT 26 May 26 FUT,13,250,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ASIANPAINT26MAYFUT,10,11,66087,ASIANPAINT,236,-1.0,XX,1010000000236,None,0,0.0
101126063062367,ASIANPAINT 30 Jun 26 FUT,13,250,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ASIANPAINT26JUNFUT,10,11,62367,ASIANPAINT,236,-1.0,XX,1010000000236,None,0,0.0
101126072861110,ASIANPAINT 28 Jul 26 FUT,13,250,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ASIANPAINT26JULFUT,10,11,61110,ASIANPAINT,236,-1.0,XX,1010000000236,None,0,0.0
101126052666088,ASTRAL 26 May 26 FUT,13,425,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:ASTRAL26MAYFUT,10,11,66088,ASTRAL,14418,-1.0,XX,101000000014418,None,0,0.0
101126063062370,ASTRAL 30 Jun 26 FUT,13,425,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:ASTRAL26JUNFUT,10,11,62370,ASTRAL,14418,-1.0,XX,101000000014418,None,0,0.0
101126072861111,ASTRAL 28 Jul 26 FUT,13,425,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:ASTRAL26JULFUT,10,11,61111,ASTRAL,14418,-1.0,XX,101000000014418,None,0,0.0
101126052666089,AUBANK 26 May 26 FUT,13,1000,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:AUBANK26MAYFUT,10,11,66089,AUBANK,21238,-1.0,XX,101000000021238,None,0,0.0
101126063062371,AUBANK 30 Jun 26 FUT,13,1000,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:AUBANK26JUNFUT,10,11,62371,AUBANK,21238,-1.0,XX,101000000021238,None,0,0.0
101126072861112,AUBANK 28 Jul 26 FUT,13,1000,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:AUBANK26JULFUT,10,11,61112,AUBANK,21238,-1.0,XX,101000000021238,None,0,0.0
101126052666090,AUROPHARMA 26 May 26 FUT,13,550,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:AUROPHARMA26MAYFUT,10,11,66090,AUROPHARMA,275,-1.0,XX,1010000000275,None,0,0.0
101126063062372,AUROPHARMA 30 Jun 26 FUT,13,550,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:AUROPHARMA26JUNFUT,10,11,62372,AUROPHARMA,275,-1.0,XX,1010000000275,None,0,0.0
101126072861113,AUROPHARMA 28 Jul 26 FUT,13,550,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:AUROPHARMA26JULFUT,10,11,61113,AUROPHARMA,275,-1.0,XX,1010000000275,None,0,0.0
101126052666091,AXISBANK 26 May 26 FUT,13,625,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:AXISBANK26MAYFUT,10,11,66091,AXISBANK,5900,-1.0,XX,10100000005900,None,0,0.0
101126063062373,AXISBANK 30 Jun 26 FUT,13,625,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:AXISBANK26JUNFUT,10,11,62373,AXISBANK,5900,-1.0,XX,10100000005900,None,0,0.0
101126072861114,AXISBANK 28 Jul 26 FUT,13,625,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:AXISBANK26JULFUT,10,11,61114,AXISBANK,5900,-1.0,XX,10100000005900,None,0,0.0
101126052666092,BAJAJ-AUTO 26 May 26 FUT,13,75,0.5,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BAJAJ-AUTO26MAYFUT,10,11,66092,BAJAJ-AUTO,16669,-1.0,XX,101000000016669,None,0,0.0
101126063062374,BAJAJ-AUTO 30 Jun 26 FUT,13,75,0.5,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BAJAJ-AUTO26JUNFUT,10,11,62374,BAJAJ-AUTO,16669,-1.0,XX,101000000016669,None,0,0.0
101126072861115,BAJAJ-AUTO 28 Jul 26 FUT,13,75,0.5,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BAJAJ-AUTO26JULFUT,10,11,61115,BAJAJ-AUTO,16669,-1.0,XX,101000000016669,None,0,0.0
101126052666093,BAJAJFINSV 26 May 26 FUT,13,250,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BAJAJFINSV26MAYFUT,10,11,66093,BAJAJFINSV,16675,-1.0,XX,101000000016675,None,0,0.0
101126063062375,BAJAJFINSV 30 Jun 26 FUT,13,250,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BAJAJFINSV26JUNFUT,10,11,62375,BAJAJFINSV,16675,-1.0,XX,101000000016675,None,0,0.0
101126072861116,BAJAJFINSV 28 Jul 26 FUT,13,300,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BAJAJFINSV26JULFUT,10,11,61116,BAJAJFINSV,16675,-1.0,XX,101000000016675,None,0,0.0
101126052666094,BAJAJHLDNG 26 May 26 FUT,13,50,1.0,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BAJAJHLDNG26MAYFUT,10,11,66094,BAJAJHLDNG,305,-1.0,XX,1010000000305,None,0,0.0
101126063062376,BAJAJHLDNG 30 Jun 26 FUT,13,50,1.0,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BAJAJHLDNG26JUNFUT,10,11,62376,BAJAJHLDNG,305,-1.0,XX,1010000000305,None,0,0.0
101126072861117,BAJAJHLDNG 28 Jul 26 FUT,13,75,1.0,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BAJAJHLDNG26JULFUT,10,11,61117,BAJAJHLDNG,305,-1.0,XX,1010000000305,None,0,0.0
101126052666095,BAJFINANCE 26 May 26 FUT,13,750,0.05,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BAJFINANCE26MAYFUT,10,11,66095,BAJFINANCE,317,-1.0,XX,1010000000317,None,0,0.0
101126063062377,BAJFINANCE 30 Jun 26 FUT,13,750,0.05,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BAJFINANCE26JUNFUT,10,11,62377,BAJFINANCE,317,-1.0,XX,1010000000317,None,0,0.0
101126072861118,BAJFINANCE 28 Jul 26 FUT,13,750,0.05,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BAJFINANCE26JULFUT,10,11,61118,BAJFINANCE,317,-1.0,XX,1010000000317,None,0,0.0
101126052666096,BANDHANBNK 26 May 26 FUT,13,3600,0.01,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BANDHANBNK26MAYFUT,10,11,66096,BANDHANBNK,2263,-1.0,XX,10100000002263,None,0,0.0
101126063062378,BANDHANBNK 30 Jun 26 FUT,13,3600,0.01,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BANDHANBNK26JUNFUT,10,11,62378,BANDHANBNK,2263,-1.0,XX,10100000002263,None,0,0.0
101126072861121,BANDHANBNK 28 Jul 26 FUT,13,3600,0.01,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BANDHANBNK26JULFUT,10,11,61121,BANDHANBNK,2263,-1.0,XX,10100000002263,None,0,0.0
101126052666097,BANKBARODA 26 May 26 FUT,13,2925,0.05,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BANKBARODA26MAYFUT,10,11,66097,BANKBARODA,4668,-1.0,XX,10100000004668,None,0,0.0
101126063062379,BANKBARODA 30 Jun 26 FUT,13,2925,0.05,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BANKBARODA26JUNFUT,10,11,62379,BANKBARODA,4668,-1.0,XX,10100000004668,None,0,0.0
101126072861122,BANKBARODA 28 Jul 26 FUT,13,2925,0.05,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BANKBARODA26JULFUT,10,11,61122,BANKBARODA,4668,-1.0,XX,10100000004668,None,0,0.0
101126052666098,BANKINDIA 26 May 26 FUT,13,5200,0.01,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BANKINDIA26MAYFUT,10,11,66098,BANKINDIA,4745,-1.0,XX,10100000004745,None,0,0.0
101126063062380,BANKINDIA 30 Jun 26 FUT,13,5200,0.01,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BANKINDIA26JUNFUT,10,11,62380,BANKINDIA,4745,-1.0,XX,10100000004745,None,0,0.0
101126072861123,BANKINDIA 28 Jul 26 FUT,13,5200,0.01,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BANKINDIA26JULFUT,10,11,61123,BANKINDIA,4745,-1.0,XX,10100000004745,None,0,0.0
101126052666099,BDL 26 May 26 FUT,13,350,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BDL26MAYFUT,10,11,66099,BDL,2144,-1.0,XX,10100000002144,None,0,0.0
101126063062381,BDL 30 Jun 26 FUT,13,350,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BDL26JUNFUT,10,11,62381,BDL,2144,-1.0,XX,10100000002144,None,0,0.0
101126072861124,BDL 28 Jul 26 FUT,13,425,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BDL26JULFUT,10,11,61124,BDL,2144,-1.0,XX,10100000002144,None,0,0.0
101126052666100,BEL 26 May 26 FUT,13,1425,0.05,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BEL26MAYFUT,10,11,66100,BEL,383,-1.0,XX,1010000000383,None,0,0.0
101126063062382,BEL 30 Jun 26 FUT,13,1425,0.05,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BEL26JUNFUT,10,11,62382,BEL,383,-1.0,XX,1010000000383,None,0,0.0
101126072861125,BEL 28 Jul 26 FUT,13,1425,0.05,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BEL26JULFUT,10,11,61125,BEL,383,-1.0,XX,1010000000383,None,0,0.0
101126052666101,BHARATFORG 26 May 26 FUT,13,500,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BHARATFORG26MAYFUT,10,11,66101,BHARATFORG,422,-1.0,XX,1010000000422,None,0,0.0
101126063062383,BHARATFORG 30 Jun 26 FUT,13,500,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BHARATFORG26JUNFUT,10,11,62383,BHARATFORG,422,-1.0,XX,1010000000422,None,0,0.0
101126072861126,BHARATFORG 28 Jul 26 FUT,13,500,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BHARATFORG26JULFUT,10,11,61126,BHARATFORG,422,-1.0,XX,1010000000422,None,0,0.0
101126052666102,BHARTIARTL 26 May 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BHARTIARTL26MAYFUT,10,11,66102,BHARTIARTL,10604,-1.0,XX,101000000010604,None,0,0.0
101126063062384,BHARTIARTL 30 Jun 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BHARTIARTL26JUNFUT,10,11,62384,BHARTIARTL,10604,-1.0,XX,101000000010604,None,0,0.0
101126072861127,BHARTIARTL 28 Jul 26 FUT,13,475,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BHARTIARTL26JULFUT,10,11,61127,BHARTIARTL,10604,-1.0,XX,101000000010604,None,0,0.0
101126052666103,BHEL 26 May 26 FUT,13,2625,0.05,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BHEL26MAYFUT,10,11,66103,BHEL,438,-1.0,XX,1010000000438,None,0,0.0
101126063062385,BHEL 30 Jun 26 FUT,13,2625,0.05,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BHEL26JUNFUT,10,11,62385,BHEL,438,-1.0,XX,1010000000438,None,0,0.0
101126072861128,BHEL 28 Jul 26 FUT,13,2625,0.05,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BHEL26JULFUT,10,11,61128,BHEL,438,-1.0,XX,1010000000438,None,0,0.0
101126052666104,BIOCON 26 May 26 FUT,13,2500,0.05,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BIOCON26MAYFUT,10,11,66104,BIOCON,11373,-1.0,XX,101000000011373,None,0,0.0
101126063062386,BIOCON 30 Jun 26 FUT,13,2500,0.05,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BIOCON26JUNFUT,10,11,62386,BIOCON,11373,-1.0,XX,101000000011373,None,0,0.0
101126072861129,BIOCON 28 Jul 26 FUT,13,2500,0.05,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BIOCON26JULFUT,10,11,61129,BIOCON,11373,-1.0,XX,101000000011373,None,0,0.0
101126052666105,BLUESTARCO 26 May 26 FUT,13,325,0.1,,0915-1530|1815-1915:,2026-05-06,1779789600,NSE:BLUESTARCO26MAYFUT,10,11,66105,BLUESTARCO,8311,-1.0,XX,10100000008311,None,0,0.0
101126063062387,BLUESTARCO 30 Jun 26 FUT,13,325,0.1,,0915-1530|1815-1915:,2026-05-06,1782813600,NSE:BLUESTARCO26JUNFUT,10,11,62387,BLUESTARCO,8311,-1.0,XX,10100000008311,None,0,0.0
101126072861130,BLUESTARCO 28 Jul 26 FUT,13,325,0.1,,0915-1530|1815-1915:,2026-05-06,1785232800,NSE:BLUESTARCO26JULFUT,10,11,61130,BLUESTARCO,8311,-1.0,XX,10100000008311,None,0,0.0
